Name,Platform,Year_of_Release
Yuki Yuna is a Hero: Memory of the Forest,PSV,2015
Time Travelers,3DS,2012
WSC Real 11: World Snooker Championship,X360,2011
Dead Rising,PS4,2016
Doraemon: Shin Nobita no Nihon Tanjou,3DS,2016
DuckTales: Remastered,X360,2013
CSI: Fatal Conspiracy,PC,2010
All Points Bulletin,PC,2010
The Sims 4: Spa Day,PC,2015
Game of Thrones (Telltale),PS3,2015
Resident Evil: Operation Raccoon City,PC,2012
Hyperdimension Neptunia Victory II,PS4,2015
Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,PSV,2015
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,2010
JASF: Jane's Advanced Strike Fighters,PC,2011
SpongeBob: HeroPants,3DS,2015
Dora's Big Birthday Adventure,PS2,2010
Corpse Party: Blood Covered - Repeated Fear,3DS,2015
Berserk and the Band of the Hawk,PS4,2016
Just Sing! Vol. 2,DS,2011
Metal Gear Solid V: The Definitive Experience,PS4,2016
Jewel Quest Mysteries 2: Trail of the Midnight Heart,DS,2011
Gal Gun: Double Peace,PSV,2015
Mobile Suit Gundam: Mokuba no Kiseki,PSP,2012
Off-Road Drive,PC,2011
Harukanaru Toki no Naka de 4: Aizouban,PSP,2010
City Builder,Wii,2010
Don Bradman Cricket 14,XOne,2015
NatGeo Challenge! Wild Life,Wii,2010
Heathcliff! Frantic Foto,DS,2010
LEGO Jurassic World,PC,2015
Famicom Remix Best Choice,3DS,2015
Tokumei Sentai Go-Busters,DS,2012
The Idolm@ster: Must Songs - Red Board / Blue Board,PSV,2015
Train Simulator 2016,PC,2015
Wicked Monster Blast!,Wii,2011
Shin Hayarigami,PS3,2014
Warriors Orochi 3,XOne,2014
Hunter x Hunter: Wonder Adventure,PSP,2012
Lost Planet 3,PC,2013
Ao no Exorcist: Genkoku no Labyrinth,PSP,2012
NASCAR Heat Evolution,XOne,2016
Suzumiya Haruhi no Tsuisou,PSP,2011
Beyblade Evolution,3DS,2013
Ar Nosurge: Ode to an Unborn Star,PSV,2014
Castlevania: Lords of Shadow 2,PC,2014
Exist Archive: The Other Side of the Sky,PS4,2015
Ragnarok Odyssey,PS3,2014
Assassin's Creed Chronicles: China,PS4,2015
Worms: Ultimate Mayhem,PC,2011
Sherlock Holmes: Secret of The Silver Earring,Wii,2010
Ray Gigant,PSV,2015
APB Reloaded,PC,2011
Da Capo I & II Plus Situation Portable,PSP,2010
Winning Post 8 ,PSV,2014
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki,DS,2010
Monster Hunter Frontier Online: Season 9.0,X360,2010
Super Hero Generation,PSV,2014
Toki no Kizuna: Sekigahara Kitan,PSP,2012
Norn9: Norn + Nonette,PSP,2013
Summer Challenge: Athletics Tournament,PS3,2011
Legasista,PS3,2012
Nobunaga's Ambition II,3DS,2015
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS3,2016
Trine 2,PC,2011
Clock Zero: Shuuen no Ichibyou Portable,PSP,2011
Trick x Logic: Season 2,PSP,2010
San Goku Shi DS 3,DS,2010
The Treasures of Montezuma,DS,2010
Ailu de Puzzle,PSP,2012
Transport Fever,PC,2016
Homefront: The Revolution,PC,2016
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017
Just Dance 2017,XOne,2016
Just Dance 2017,X360,2016
Stranger of Sword City,PSV,2015
Jane's Hotel,DS,2010
Espgaluda II Black Label,X360,2010
The Croods: Prehistoric Party!,3DS,2013
Pro Evolution Soccer 2017,X360,2016
Warhammer: The End Times - Vermintide,PS4,2016
DoraMoji: Nobita no Kanji Daisakusen,3DS,2015
Fushigi no Dungeon: Fuurai no Shiren 5 - Fortune Tower to Unmei no Dice,DS,2010
Macross ? Scramble,PSV,2016
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,PSP,2010
Sins of a Solar Empire: Trinity,PC,2010
My Hero Academia: Battle for All,3DS,2016
Greg Hastings Paintball 2,PS3,2010
Sangoku Koi Senki: Otome no Heihou!,PSP,2012
Hakuouki: Zuisouroku DS,DS,2011
Detective Conan: Prelude from the Past,PSP,2012
100 Classic Games,DS,2011
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013
XBLAZE Code: Embryo,PS3,2013
The Legend of Heroes: Trails in the Sky SC Evolution,PSV,2015
FabStyle,3DS,2011
Cooking Mama: My Sweets Shop,3DS,2014
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,2016
Onechanbara Z Kagura,PS3,2013
Dead or Alive Xtreme 3: Venus,PSV,2016
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,PS3,2010
Pro Cycling Manager 2016,PC,2016
PriPara Mezameyo! Megami no Dress Design,3DS,2016
Sengoku Basara: Sanada Yukimura-Den,PS4,2016
Marines: Modern Urban Combat,Wii,2010
Infamous: First Light,PS4,2014
The Idolmaster: Gravure For You! Vol. 4,PS3,2012
Tour de France 2014,PS4,2014
Deal or No Deal: Special Edition,DS,2010
The Night of the Rabbit,PC,2013
Even in a Game Listen to Me Girls. I Am Your Father!,PSP,2012
Challenge Me: Word Puzzles,DS,2011
A Game of Thrones: Genesis,PC,2011
Diabolik Lovers: Dark Fate,PSV,2015
Need for Speed (2015),PC,2016
Deer Drive: Legends,3DS,2012
The Cursed Crusade,PC,2011
Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,2016
Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,PS3,2012
Suzumiya Haruhi no Tsuisou,PS3,2011
Mame Goma: Shiro to Kuro no Meikyuu,3DS,2012
Duke Nukem 3D: 20th Anniversary World Tour,PS4,2016
Alpha Protocol,PC,2010
Paddington: Adventures in London,3DS,2015
Langrisser: Re:Incarnation Tensei,3DS,2015
Atelier Firis: The Alchemist of the Mysterious Journey,PS4,2016
Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,DS,2011
Romance of the Three Kingdoms (3DS),3DS,2013
Living Legends: Frozen Beauty,PC,2014
Penguins of Madagascar,WiiU,2014
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,PS3,2011
Detective Conan: Phantom Rhapsody,3DS,2014
Mashiro Iro Symphony: *mutsu-no-hana,PSP,2011
Diabolik Lovers: More Blood,PSP,2013
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015
K-On! After School Live!! HD Ver.,PS3,2012
Ukiyo no Shishi,PS3,2015
Dream C Club Zero,X360,2011
Medabots 9: Metabee / Rokusho,3DS,2015
Supreme Ruler: Cold War,PC,2011
Yumi's Odd Odyssey,3DS,2013
Might & Magic X: Legacy,PC,2014
Kevin Van Dam: Big Bass Challenge,Wii,2010
Sacra Terra: Angelic Night,PC,2011
7 Wonders: Treasures of Seven,DS,2011
YoKai Watch Dance: Just Dance Special Version,WiiU,2015
Junior Island Adventure,DS,2011
Yumeiro Patissiere: My Sweets Cooking,DS,2010
Clannad,PS3,2011
Just Dance 2017,PS4,2016
SBK 2011: FIM Superbike World Championship,PC,2011
Maximum Racing: Drag & Stock Racer,Wii,2010
Let's Sing 2016,PS4,2015
Casino Chaos With Las Vegas Players Collection,PC,2011
Dragon's Dogma Online,PS3,2015
Nancy Drew: Alibi In Ashes,PC,2011
Angler's Club: Ultimate Bass Fishing 3D,3DS,2011
Super Hero Generation,PS3,2014
Tamagotchi no Doki Doki Dream Omisecchi,3DS,2013
Toushin Toshi,3DS,2014
Trine 2,WiiU,2012
Best Friends Tonight,DS,2010
Apache: Air Assault,PC,2010
Atelier Sophie: The Alchemist of the Mysterious Book,PS3,2015
.hack: Sekai no Mukou ni + Versus,PS3,2012
Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,2015
Clash of Elementalists,3DS,2013
Rugby 15,PSV,2015
Cooking Mama 5: Bon Appetit!,3DS,2013
F1 2016 (Codemasters),PC,2016
Deus Ex: Mankind Divided,PC,2016
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013
3DS Classic Collection,3DS,2016
Prince of Persia: The Forgotten Sands,PC,2010
Accel World: Ginyoku no Kakusei,PS3,2012
Turbo: Super Stunt Squad,DS,2013
Game of Thrones (Telltale),XOne,2015
Batman: A Telltale Game Series,X360,2016
Barbie and Her Sisters Puppy Rescue,3DS,2015
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010
Summon Night 6: Lost Borders,PS4,2016
Silverlicious,DS,2012
Toriko: Ultimate Survival,3DS,2013
Song of the Deep,PC,2016
The Binding of Isaac,PC,2012
Maximum Racing: GP Classic Racing,Wii,2010
Castlevania: Lords of Shadow - Reverie,PS3,2011
Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,3DS,2012
Tokyo Xanadu eX+,PS4,2016
Airship Q,PSV,2015
A Good Librarian Like a Good Shepherd: Library Party,PSV,2015
River City Super Sports Challenge,DS,2010
Sea Park Tycoon,DS,2010
Accel World: Ginyoku no Kakusei,PSP,2012
Jikandia: The Timeless Land,PSP,2010
Classic Dungeon: Fuyoku no Masoujin,PSP,2010
DiRT Rally,PC,2016
Trials Fusion,PC,2014
Prison Architect,PS4,2016
Hallowed Legends: Samhain,PC,2011
Exstetra,PSV,2013
Hakuoki Zuisouroku Omokage Hana,PSV,2015
Beastly,Wii,2011
Gokujou!! Mecha Mote Iinchou: MM My Best Friend!,DS,2010
Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016
PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,3DS,2015
JoJo's Bizarre Adventure: Eyes of Heaven,PS3,2015
Rugby World Cup 2015,X360,2015
Sorcery Saga: The Curse of the Great Curry God,PSV,2013
Cabela's Big Game Hunter: Pro Hunts,PS3,2014
Hajime no Ippo: The Fighting! (2014),PS3,2014
Game of Thrones (Telltale),X360,2015
Chaos;Head - Love Chu*Chu!,X360,2010
The Walking Dead: Season One,PC,2012
Hyperdimension Neptunia Re;Birth 2,PSV,2014
Top Gun: Hard Lock,PS3,2012
Alia's Carnival! Sacrament,PSV,2015
Toaru Majutsu no Kagaku no Ensemble,PSP,2013
Brothers Conflict: Brilliant Blue,PSP,2013
Bad Apple Wars,PSV,2015
House M.D.,DS,2010
thinkSMART FAMILY!,Wii,2010
Last Escort: Club Katze,PSP,2010
Renai Revenge,PSV,2015
Mahjong 300,DS,2011
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen,PSP,2010
WRC 5: FIA World Rally Championship,PSV,2015
Infinite Stratos 2: Ignition Hearts,PSV,2014
Super Meat Boy: Ultra Edition!,PC,2011
Super Heroine Chronicle,PS3,2014
Kiniro no Corda 3,PS2,2010
Zero Escape: Virtue's Last Reward,3DS,2012
Darkstalkers Resurrection,PS3,2013
Transformers: Devastation,PC,2015
MotoGP 15,XOne,2015
The Golf Club,XOne,2014
Ebikore Photo Kano Kiss ,PSV,2015
East India Company Collection,PC,2010
Mother Goose no Himitsu no Yakata,PSP,2011
Fast & Furious: Showdown,X360,2013
The Voice,PS3,2014
Renai 0 Kilometer,PSP,2013
Max & the Magic Marker,Wii,2011
Ao no Kanata no Four Rhythm,PSV,2016
StormLover,PSP,2010
Gloria Union,PSP,2011
Worms: WMD,PS4,2016
Shaun White Skateboarding,PC,2010
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,WiiU,2014
Jyuzaengi: Engetsu Sangokuden,PSP,2012
Shin Sangoku Musou Online: Kamishou Ranbu,PS3,2010
Rabbids Land,WiiU,2012
Kokoro no Kokoron,DS,2011
Great Edo Blacksmith,PSV,2014
Keshisasu-Kun: Battle Kas-tival,DS,2010
Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,2011
Take On Helicopters,PC,2011
Young Justice: Legacy,3DS,2013
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,3DS,2012
Power Rangers Super Megaforce ,3DS,2014
Dennou Senki Virtual-On Force,X360,2010
Rugby 15,X360,2015
Nettou! Powerful Koushien,DS,2010
King Arthur II,PC,2011
Looney Tunes: Galactic Sports,PSV,2015
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,2010
Senko no Ronde DUO,X360,2010
The Inner World,PC,2013
Katekyoo Hitman Reborn! Kizuna no Tag Battle,PSP,2010
Terraria,WiiU,2016
Hudson x GReeeeN Live!? DeeeeS!?,DS,2010
DJ Max Portable 3,PSP,2010
Boot Camp Academy,Wii,2010
The Idolmaster: Gravure For You! Vol. 5,PS3,2012
S.Y.K Renshouden,PS2,2010
Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,PSP,2011
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,PSV,2015
Valentino Rossi: The Game,XOne,2016
Muv-Luv Alternative: Total Eclipse,PS3,2013
Star Wars: The Force Unleashed II,PC,2010
Heathcliff! The Fast and the Furriest,Wii,2010
Darius Burst: Chronicle Saviours,PSV,2016
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,2016
Monster Hunter Frontier Online: Season 10,X360,2011
Armored Core: Last Raven Portable,PSP,2010
SD Gundam: Gashapon Wars,Wii,2010
Phantasy Star Online 2: Episode 3 Deluxe Package,PSV,2015
Higurashi no Naku Koro ni Iki,PSV,2015
Harley-Davidson: Road Trip,Wii,2010
MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,PSV,2015
MapleStory DS,DS,2010
Playmobil Top Agents,DS,2010
Doom 3 BFG Edition,PC,2012
Romance of the Three Kingdoms II,3DS,2015
Bladestorm: Nightmare,PS3,2015
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,2011
OZMAFIA!! -vivace-,PSV,2015
Kung Fu Panda: Showdown of Legendary Legends,3DS,2015
Oumagatoki: Kaidan Romance,PSP,2012
Lords of the Fallen,PC,2014
New Tokyo Legacy: Operation Babel,PSV,2015
The Wolf Among Us,X360,2011
HappinessCharge PreCure! Kawarun Collection,3DS,2014
NBA 2K13,PC,2012
Megpoid the Music#,PSP,2013
Batman: A Telltale Game Series,XOne,2016
Triple Pack: Xbox Live Arcade Compilation,X360,2011
Winter Sports 3: The Great Tournament,PS3,2010
Detective Opera: Milky Holmes 2,PSP,2012
Nisekoi: Yomeiri!?,PSV,2014
Blaze Union: Story to Reach the Future,PSP,2010
Barbie and Her Sisters Puppy Rescue,Wii,2015
Handball 16,PS3,2015
Commander: Conquest of the Americas,PC,2010
LEGO Pirates of the Caribbean: The Video Game,PC,2011
Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna,DS,2010
Samurai Warriors: Sanada Maru,PS4,2016
Genkai Tokki: Seven Pirates,PSV,2016
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,2011
Parfait,PSV,2015
Mighty No. 9,WiiU,2016
DeathSmiles II,X360,2010
The Great Mystery Hidden Object Package 5,PC,2015
Kenka Bancho Otome,PSV,2016
Star Trek: The Game,PC,2013
Hyakumanton no Bara Bara,PSP,2010
Superdimension Neptune vs Sega Hard Girls,PSV,2016
The Talos Principle,PS4,2015
Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,PSP,2010
Gudetama: Hanjuku de Tanomuwa,3DS,2015
LEGO Legends of Chima: Laval's Journey,DS,2013
The King of Fighters Portable '94~'98: Chapter of Orochi,PSP,2010
Nisenochigiri: Omoide no Saki e,PSP,2011
Girls Only,DS,2010
Kamigami no Asobi,PSP,2013
Harukanaru Toki no Naka de 6,PSV,2015
Onechanbara Z Kagura,X360,2012
Ride,PC,2015
Mega Minis Volume 2,PSP,2011
Tsuku Monogatari,PSP,2011
Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,2011
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wu-Hen,PSP,2010
Harukanaru Toki no Naka de 5: Kazahanaki,PSP,2012
The IdolM@ster: Gravure For You! Vol. 6,PS3,2012
SingStar Fussballhits,PS3,2010
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,2016
Dream Club Zero Portable,PSV,2011
LEGO Harry Potter: Years 1-4,PC,2010
Samurai Warriors 2,PS3,2013
Bus Simulator 16,PC,2016
Mystery Trackers: The Void,PC,2011
Diabolik Lovers: Lunatic Parade,PSV,2016
The Croods: Prehistoric Party!,WiiU,2013
Battle vs. Chess,X360,2011
Biohazard: Revival Selection,X360,2011
Cabela's Big Game Hunter: Pro Hunts,X360,2014
Labyrinth Cross Blood: Infinity,PSV,2013
UK Truck Simulator,PC,2010
Loading Human,PS4,2016
Kangokutou Mary Skelter,PSV,2016
101-in-1 Sports Party Megamix,Wii,2010
Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,PSP,2011
Monster Hunter Frontier Online: Forward 1,X360,2011
Botanicula,PC,2012
Starry ? Sky: In Winter,PSP,2011
Pro Evolution Soccer 2012,3DS,2011
Saka Agari Hurricane Portable,PSP,2011
Rugby League Live,X360,2010
Yuusha Shisu.,PSV,2016
MX vs. ATV Supercross,PS3,2014
Sengoku Basara: Sanada Yukimura-Den,PS3,2016
Kisuato,PSV,2015
"Hanayaka Kana, Ware ga Ichizoku Twin Pack",PSP,2011
1000 Cooking Recipes from ELLE à table,DS,2010
Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,PSV,2015
XBLAZE Code: Embryo,PSV,2013
Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!,DS,2011
Dream Girl Premier,3DS,2015
Tiger & Bunny: On-Air Jack!,PSP,2012
Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,2012
Putty Squad,PSV,2013
Rugby League Live,PS3,2010
Dead Rising 2,PS4,2016
Age of Conan: Rise of the Godslayer,PC,2010
Infinite Stratos 2: Ignition Hearts,PS3,2014
Young Justice: Legacy,Wii,2013
Steins;Gate 0,PS3,2015
The Peanuts Movie: Snoopy's Grand Adventure,3DS,2015
Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku,3DS,2013
Brothers Conflict: Passion Pink,PSP,2012
Rugby Challenge 3,PS3,2016
Magicka,PC,2011
Schlag den Raab,PC,2010
Emily Archer and the Curse of Tutankhamun,DS,2011
MX vs. ATV Supercross Encore,XOne,2015
AMNESIA World,PSV,2014
The Technomancer,XOne,2016
Resident Evil 5 HD,PS4,2016
Aegis of Earth: Protonovus Assault,PSV,2016
Teddy Together,3DS,2016
Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,2010
NatGeo Challenge! Wild Life,X360,2010
Sengoku Efuda Yuugi: Hototogisu Tairan,PSP,2010
Touch Shot! Love Application,PS3,2012
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,2015
One Piece: Daikaizoku Coliseum,3DS,2016
The Legend of Korra (3DS),3DS,2014
Senran Kagura: Bon Appétit!,PSV,2014
The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015
Aegis of Earth: Protonovus Assault,PS4,2016
Sengoku Otome: Legend Battle,PSV,2016
Harvest Moon: Skytree Village,3DS,2016
Divinity II: Flames of Vengeance,PC,2010
Imagine: Sweet 16,DS,2010
Air Conflicts: Secret Wars,PC,2011
Tokushu Houdoubu,PSV,2012
Lost Planet 2,PC,2010
Wand of Fortune 2: Jikuu ni Shizumu Mokushiroku,PSP,2011
Little Busters! Converted Edition,PSV,2012
Monster Hunter Frontier Online: Forward 2,X360,2011
Agatha Christie's The ABC Murders,PS4,2016
Let's Play Ballerina,Wii,2010
Atari Flashback Classics: Volume 1,PS4,2016
Starry ? Sky: In Autumn,PSP,2010
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016
D.C. III: Da Capo III,PSP,2013
Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,PSP,2012
Heroes of Hellas 2: Olympia,DS,2012
Tenkaichi * Sengoku Lovers,DS,2010
Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,PS3,2013
Magicka Collection,PC,2011
Petz: Catz Playground,DS,2010
Senjou no Waltz,PSV,2014
Angelique: Maren no Rokukishi,PSP,2011
Secrets of the Titanic,DS,2012
Captain Morgane and the Golden Turtle,PC,2012
BlazBlue: Chrono Phantasma Extend,PSV,2015
Legend of Kay Anniversary,PS4,2015
Duke Nukem 3D: 20th Anniversary World Tour,XOne,2016
 Beyblade Burst,3DS,2016
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PSV,2012
I Heart Geeks,DS,2011
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016
Let's Dance with Mel B,PS3,2011
Jewel Quest 5: The Sleepless Star,DS,2012
GRID Autosport,PC,2014
Demon Gaze 2,PSV,2014
Clover no Kuni no Alice: Wonderful Wonder World,PS2,2010
Otometeki Koi Kakumei * Love Revo! Portable,PSP,2010
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,2013
Let's Play Garden,Wii,2010
Blade Arcus from Shining EX,PS4,2015
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,PS3,2015
The Idolmaster: Gravure For You! Vol.7,PS3,2012
Monster High: New Ghoul in School,X360,2015
Assault Suit Leynos,PS4,2016
Foto Showdown,DS,2010
Juusanshi Engi Engetsu Sangokuden 2,PSP,2014
Turbo: Super Stunt Squad,WiiU,2013
Disney Planes Fire & Rescue,WiiU,2014
Let's Dance with Mel B,Wii,2011
Alien Breed Trilogy,X360,2011
No More Heroes: Heroes' Paradise,X360,2010
Captain Morgane and the Golden Turtle,DS,2012
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,PSP,2012
Reco Love: Blue Ocean,PSV,2016
Ken to Mahou to Gakuen Mono. 2G,PS3,2010
Kami Naru Kimi to,PSP,2011
Final Fantasy XIV: Heavensward,PC,2015
Omega Quintet,PS4,2014
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,2015
Strike Witches 2: Iyasu Naosu Punipunisuru,DS,2010
Final Fantasy XIV: Heavensward,PS3,2015
Diabolik Lovers: Vandead Carnival,PSV,2014
Bunmei Haruka: Aoiza Ibunroku,PSP,2011
Atari Flashback Classics: Volume 2,PS4,2016
Lilpri DS: Hime-Chen! Apple Pink,DS,2010
PopCap Hits! Vol 2,X360,2011
Carnage Heart EXA,PSP,2010
Capcom Digital Collection,X360,2012
Rugby League Live 3,PS4,2015
Cross Ange: Tenshi to Ryuu no Rondo tr.,PSV,2015
Chuck E. Cheese's Sports Games,Wii,2011
Puppet Show 3: Lost Town,PC,2011
Winning Post 8 2015,PSV,2015
La Corda d'Oro 4,PSV,2016
Cross Channel: In Memory of All People,X360,2011
Clannad: Mitsumi Mamoru Sakamichi de - Joukan,PSP,2010
Are You Alice?,PSP,2011
Bella Sara 2 - The Magic of Drasilmare,3DS,2013
Dance Dance Revolution: Hottest Party 5,Wii,2011
Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011
Urakata Hakuoki,PSP,2013
Here They Lie,PS4,2016
Rugby League Live 3,X360,2015
Steins;Gate: Senkei Kousoku no Phonogram,X360,2013
Escape the Emerald Star,PC,2011
TV Total Events,Wii,2011
Vitamin Z Revolution,PSP,2010
Aegis of Earth: Protonovus Assault,PS3,2016
Strike Witches: Shirogane no Tsubasa,PSP,2012
Blade Arcus from Shining EX,PS3,2015
Bigfoot King of Crush,Wii,2011
Rugby Challenge 3,X360,2016
Toukiden 2,PS3,2016
Dunamis 15,PS3,2011
Resident Evil: Umbrella Corps,PS4,2016
Fishdom 2 Deluxe,PC,2010
Treasure Chase,DS,2011
Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010
Cities XL 2011,PC,2010
Farm Frenzy 3,DS,2011
Rapala for Kinect,X360,2011
Hyakka Hyakurou: Sengoku Ninpoujou,PSV,2016
HatsuKare * Renai Debut Sengen!,PSP,2013
QUIZ PARTY,Wii,2012
Winx Club: Rockstars,DS,2010
Star Trek Online,PC,2010
Kingdom: Ikkitousen no Ken,PSP,2010
Anima - Gate of Memories,PS4,2016
Tropico 4: Modern Times,PC,2012
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,PSP,2011
Utawarerumono: Futari no Hakuoro,PS3,2016
Geten no Hana,PSP,2013
Crazy Machines,Wii,2010
Serious Sam HD: Gold Edition,X360,2011
Psycho-Pass: Mandatory Happiness,PSV,2016
Thomas and Friends: Steaming around Sodor,3DS,2015
Chaos;Head Noah,PSP,2010
Atelier Firis: The Alchemist of the Mysterious Journey,PSV,2016
Phoenix Wright: Ace Attorney Trilogy,3DS,2014
Princess Saver! Eternal Love for My Lady,PS2,2010
To Love-Ru Trouble: Darkness - True Princess,PSV,2015
Twinkle * Crusaders GoGo!,PSP,2010
Moujuutsukai to Oujisama: Snow Bride Portable,PSP,2012
Captain Morgane and the Golden Turtle,PS3,2012
Dino Dini's Kick Off Revival,PS4,2016
Winning Post 8 2015,PS3,2015
Monster High 13 Wishes,WiiU,2013
Ukiyo no Roushi,PSV,2015
Uta Kumi 575,PSV,2014
Street Fighter X Tekken,PC,2012
Jewel Match 2,DS,2012
Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,PSP,2010
Rugby World Cup 2015,XOne,2015
Black Rose Valkyrie,PS4,2016
Zillions of Enemy X: Zetsukai no Crusade,PS3,2013
Plants vs. Zombies: Garden Warfare,PC,2014
Love Once: Mermaid's Tears,PS3,2011
Castlevania: Lords of Shadow - Reverie,X360,2011
Let's Play Flight Attendant,DS,2010
F1 Race Stars,PC,2012
Quiz Present Variety Q-Sama!! DS: Pressure Study x Atama Gai Kunaru Drill SP,DS,2011
Call of Duty: Modern Warfare Trilogy,PS3,2016
Motto! SoniComi,PS3,2014
Heart no Kuni no Alice Anniversary Ver.: Wonderful Wonder World,PSP,2011
Diabolik Lovers: More Blood,PSV,2015
PachiPara 15: Super Umi Monogatari in Okinawa 2,PS3,2010
Serious Sam HD: Gold Edition,PC,2010
Triple Crown Championship Snowboarding,Wii,2010
Dream Chronicles,DS,2010
X3: Terran War Pack,PC,2012
Azada,3DS,2012
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016
Moujuutsukai to Oujisama Portable,PSP,2011
Genroh,PSP,2012
Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010
Kannou Mukashi Banashi Portable,PSP,2012
Umineko no Naku Koro ni: Majo to Suiri no Rinbukyoku,PS3,2010
Rose to Tasogare no Kojou,PSV,2016
Tale of a Hero,PC,2010
UnchainBlades EXXiV,3DS,2012
Mind over Matter,DS,2010
Dies Irae: Amantes Amentes,PSP,2012
The Idolmaster: Gravure For You! Vol.9,PS3,2012
Heavy Fire: The Chosen Few 3D,3DS,2011
Dungeon Defenders,PC,2011
Dragon's Lair,DS,2010
Cities in Motion Collection,PC,2011
Date A Live: Arusu Install,PS3,2014
Veggy World,DS,2011
Shinken de Watashi ni Koi Shinasai! R,PS3,2012
Shiratsuyu no Kai,PSP,2013
Rugby League Team Manager 2015,PC,2015
Touhou Genso Rondo: Bullet Ballet,PS4,2016
"Renai Banchou: Inochi Meishi, Koiseyo Otome! Love is Power!!!",PSP,2010
Atari Flashback Classics: Volume 1,XOne,2016
Gekka Ryouran Romance,PSP,2011
Ore no Yome: Anata Dake no Hanayome,X360,2010
Resident Evil Zero,PC,2016
Back to the Future: The Game,X360,2015
Sniper Elite V2,WiiU,2013
Moujuutsukai to Oujisama: Snow Bride,PS2,2011
Detective Jinguuji Saburo: Ronde Revenge,3DS,2012
Tsuyo Kiss 2 Portable,PSP,2010
Paragon,PS4,2016
